Model,Lead,C,MR_C,MP_C,MY_C,DynamicLoadRating,OuterDiameter,Repeatability,Setup,Power,Env,Type
GTH3,2,677.3,2.3,2.6,2.6,2050,6,0.005,0&1&2,30,0,0
GTH3,8,677.3,2.3,2.6,2.6,2100,6,0.005,0&1&2,30,0,0
GTH4,2,1338.1,15.1,10.2,10.2,2730,10,0.005,0&1&2,50&100,0,0
GTH4,6,1338.1,15.1,10.2,10.2,2100,10,0.005,0&1&2,50&100,0,0
GTH4,12,1338.1,15.1,10.2,10.2,1400,10,0.005,0&1&2,50&100,0,0
GTH5,2,1635.3,23,16.4,16.4,3277,12,0.005,0&1&2,100,0,0
GTH5,5,1635.3,23,16.4,16.4,5258,12,0.005,0&1&2,100,0,0
GTH5,10,1635.3,23,16.4,16.4,6298,12,0.005,0&1&2,100,0,0
GTH5,20,1635.3,23,16.4,16.4,7622,12,0.005,0&1&2,100,0,0
GTH8,5,3610.6,81.2,49,49,13538,16,0.005,0&1&2,200&400,0,0
GTH8,10,3610.6,81.2,49,49,8240,16,0.005,0&1&2,200&400,0,0
GTH8,20,3610.6,81.2,49,49,4073,16,0.005,0&1&2,200&400,0,0
GTH12,5,10724.4,405.4,269.6,269.6,15686,16,0.005,0&1&2,400,0,0
GTH12,10,10724.4,405.4,269.6,269.6,8240,16,0.005,0&1&2,400,0,0
GTH12,20,10724.4,405.4,269.6,269.6,5435,16,0.005,0&1&2,400,0,0
GTH12,32,10724.4,405.4,269.6,269.6,4836,16,0.005,0&1&2,400,0,0
GTH5S,2,1635.3,23,16.4,16.4,3277,12,0.005,0&1&2,100,0,0
GTH8S,5,3610.6,81.2,49,49,13538,16,0.005,0&1&2,200&400,0,0
GTY4,2,1338.1,15.1,10.2,10.2,2730,10,0.01,0&1&2,50&100,0,1
GTY4,6,1338.1,15.1,10.2,10.2,2100,10,0.01,0&1&2,50&100,0,1
GTY4,12,1338.1,15.1,10.2,10.2,1400,10,0.01,0&1&2,50&100,0,1
GTY5,2,1635.3,23,16.4,16.4,3277,12,0.01,0&1&2,100,0,1
GTY5,5,1635.3,23,16.4,16.4,5258,12,0.01,0&1&2,100,0,1
GTY5,10,1635.3,23,16.4,16.4,6298,12,0.01,0&1&2,100,0,1
GTY5,20,1635.3,23,16.4,16.4,7622,12,0.01,0&1&2,100,0,1
GTY8,5,3610.6,81.2,49,49,13538,16,0.01,0&1&2,200&400,0,1
GTY8,10,3610.6,81.2,49,49,8240,16,0.01,0&1&2,200&400,0,1
GTY8,20,3610.6,81.2,49,49,4073,16,0.01,0&1&2,200&400,0,1
GTY12,5,10724.4,405.4,269.6,269.6,15686,16,0.01,0&1&2,400,0,1
GTY12,10,10724.4,405.4,269.6,269.6,8240,16,0.01,0&1&2,400,0,1
GTY12,20,10724.4,405.4,269.6,269.6,5435,16,0.01,0&1&2,400,0,1
GTY12,32,10724.4,405.4,269.6,269.6,4836,16,0.01,0&1&2,400,0,1
ETH13,5,5786,230,54.1,54.1,10526,16,0.005,0&1&2,200&400,0,2
ETH13,10,5786,230,54.1,54.1,5817,16,0.005,0&1&2,200&400,0,2
ETH13,20,5786,230,54.1,54.1,5435,16,0.005,0&1&2,200&400,0,2
ETH13,32,5786,230,54.1,54.1,4836,16,0.005,0&1,200&400,0,2
ETH14,5,7880.3,313.2,315.2,315.2,10526,16,0.005,0&1&2,200&400,0,2
ETH14,10,7880.3,313.2,315.2,315.2,5817,16,0.005,0&1&2,200&400,0,2
ETH14,20,7880.3,313.2,315.2,315.2,5435,16,0.005,0&1&2,200&400,0,2
ETH14,32,7880.3,313.2,315.2,315.2,4836,16,0.005,0&1&2,200&400,0,2
ETH17,5,12122.5,624.3,509.1,509.1,17795,20,0.005,0&1&2,400&750,0,2
ETH17,10,12122.5,624.3,509.1,509.1,1025,20,0.005,0&1&2,400&750,0,2
ETH17,20,12122.5,624.3,509.1,509.1,5414,20,0.005,0&1&2,400&750,0,2
ETH17,40,12122.5,624.3,509.1,509.1,6406,20,0.005,0&1&2,400&750,0,2
ETH22,5,17009,1199.1,1318.2,1318.2,11116,25,0.005,0&1&2,750,0,2
ETH22,10,17009,1199.1,1318.2,1318.2,16069,25,0.005,0&1&2,750,0,2
ETH22,25,17009,1199.1,1318.2,1318.2,5948,25,0.005,0&1&2,750,0,2
ETH22,40,17009,1199.1,1318.2,1318.2,6406,20,0.005,0&1&2,750,0,2
ETH17M,5,6566.9,354.6,262.7,262.7,10526,16,0.005,0&1&2,400&750,0,2
ETH17M,10,6566.9,354.6,262.7,262.7,5817,16,0.005,0&1&2,400&750,0,2
ETH17M,20,6566.9,354.6,262.7,262.7,5435,16,0.005,0&1&2,400&750,0,2
ETH17M,32,6566.9,354.6,262.7,262.7,4836,16,0.005,0&1&2,400&750,0,2
ETH22M,5,10102,727.3,727.3,727.3,11116,20,0.005,0&1&2,750,0,2
ETH22M,10,10102,727.3,727.3,727.3,16069,20,0.005,0&1&2,750,0,2
ETH22M,20,10102,727.3,727.3,727.3,5948,20,0.005,0&1&2,750,0,2
ETH22M,40,10102,727.3,727.3,727.3,6406,20,0.005,0&1&2,750,0,2
ETB5,32,661,8.1,3.3,3.3,3065,9,0.04,0&1,50&100,0,3
ETB5,40,661,8.1,3.3,3.3,3065,9,0.04,0&1,50&100,0,3
ETB6,40,1451,29.7,10.7,10.7,5065,12,0.04,0&1,50&100,0,3
ETB10,32,3181,29.8,28.9,28.9,2125,15,0.04,0&1,100&200,0,3
ETB14M,40,7880,313.2,315.2,315.2,4824,22,0.04,0&1,200&400,0,3
ETB17M,40,12122,624.3,509.1,509.1,7584,30,0.04,0&1,400&750,0,3
ETB22M,40,17009,1199.1,1318.2,1318.2,10324,50,0.04,0&1,750,0,3
MK65,110,3181.4,22.1,127.3,127.3,2412,32,0.1,0&1&2,400,0,4
MK85,200,4892,45.7,322.8,322.8,3792,46,0.1,0&1&2,750,0,4
MK110,250,6876,73.6,574.2,574.2,5162,50,0.1,0&1&2,750,0,4
GCH4,2,1338.1,15.1,10.2,10.2,2730,10,0.005,0&1&2,50&100,1,0
GCH4,6,1338.1,15.1,10.2,10.2,2100,10,0.005,0&1&2,50&100,1,0
GCH4,12,1338.1,15.1,10.2,10.2,1400,10,0.005,0&1&2,50&100,1,0
GCH5,2,1635.3,23,16.4,16.4,3277,12,0.005,0&1&2,100,1,0
GCH5,5,1635.3,23,16.4,16.4,5258,12,0.005,0&1&2,100,1,0
GCH5,10,1635.3,23,16.4,16.4,6298,12,0.005,0&1&2,100,1,0
GCH5,20,1635.3,23,16.4,16.4,7622,12,0.005,0&1&2,100,1,0
GCH8,5,3610.6,81.2,49,49,13538,16,0.005,0&1&2,200&400,1,0
GCH8,10,3610.6,81.2,49,49,8240,16,0.005,0&1&2,200&400,1,0
GCH8,20,3610.6,81.2,49,49,4073,16,0.005,0&1&2,200&400,1,0
GCH12,5,10724.4,405.4,269.6,269.6,15686,16,0.005,0&1&2,400,1,0
GCH12,10,10724.4,405.4,269.6,269.6,8240,16,0.005,0&1&2,400,1,0
GCH12,20,10724.4,405.4,269.6,269.6,5435,16,0.005,0&1&2,400,1,0
GCH12,32,10724.4,405.4,269.6,269.6,4836,16,0.005,0&1&2,400,1,0
ECH14,5,7880.3,313.2,315.2,315.2,10526,16,0.005,0&1&2,200&400,1,2
ECH14,10,7880.3,313.2,315.2,315.2,5817,16,0.005,0&1&2,200&400,1,2
ECH14,20,7880.3,313.2,315.2,315.2,5435,16,0.005,0&1&2,200&400,1,2
ECH14,32,7880.3,313.2,315.2,315.2,4836,16,0.005,0&1&2,200&400,1,2
ECH17,5,12122.5,624.3,509.1,509.1,17795,20,0.005,0&1&2,400&750,1,2
ECH17,10,12122.5,624.3,509.1,509.1,1025,20,0.005,0&1&2,400&750,1,2
ECH17,20,12122.5,624.3,509.1,509.1,5414,20,0.005,0&1&2,400&750,1,2
ECH17,40,12122.5,624.3,509.1,509.1,6406,20,0.005,0&1&2,400&750,1,2
ECH22,5,17009,1199.1,1318.2,1318.2,11116,25,0.005,0&1&2,750,1,2
ECH22,10,17009,1199.1,1318.2,1318.2,16069,25,0.005,0&1&2,750,1,2
ECH22,25,17009,1199.1,1318.2,1318.2,5948,25,0.005,0&1&2,750,1,2
ECH22,40,17009,1199.1,1318.2,1318.2,6406,20,0.005,0&1&2,750,1,2
ECB5,32,661,8.1,3.3,3.3,3065,9,0.04,0&1,50&100,1,3
ECB5,40,661,8.1,3.3,3.3,3065,9,0.04,0&1,50&100,1,3
ECB6,40,1451,29.7,10.7,10.7,5065,12,0.04,0&1,50&100,1,3
ECB10,32,3181,29.8,28.9,28.9,2125,15,0.04,0&1,100&200,1,3
ECB14,40,7880,313.2,315.2,315.2,4824,22,0.04,0&1,200&400,1,3
ECB17,40,12122,624.3,509.1,509.1,7584,30,0.04,0&1,400&750,1,3
ECB22,40,17009,1199.1,1318.2,1318.2,10324,50,0.04,0&1,750,1,3
